,ts,series_errors,approximant_errors
0,0.0,0.0,0.0
1,0.0031429903146524512,2.2204446783486417e-16,0.0
2,0.0062859806293049025,2.2204405656444742e-16,0.0
3,0.009428970943957353,0.0,0.0
4,0.012571961258609805,2.2204241148405e-16,0.0
5,0.015714951573262255,0.0,0.0
6,0.018857941887914707,0.0,0.0
7,0.02200093220256716,0.0,0.0
8,0.02514392251721961,0.0,0.0
9,0.02828691283187206,4.4406700133439075e-16,2.2203350066719537e-16
10,0.03142990314652451,2.22030895978139e-16,2.22030895978139e-16
11,0.034572893461176965,0.0,0.0
12,0.03771588377582941,2.2202486408618557e-16,0.0
13,0.04085887409048187,2.2202143688701062e-16,2.2202143688701062e-16
14,0.04400186440513432,0.0,0.0
15,0.04714485471978677,0.0,0.0
16,0.05028784503443922,0.0,2.2200951030257174e-16
17,0.05343083534909167,0.0,0.0
18,0.05657382566374412,0.0,0.0
19,0.05971681597839657,0.0,0.0
20,0.06285980629304902,0.0,2.219897699834549e-16
21,0.06600279660770147,2.2198414952937207e-16,0.0
22,0.06914578692235393,0.0,2.2197825493224198e-16
23,0.07228877723700639,2.2197208619569598e-16,2.2197208619569598e-16
24,0.07543176755165883,2.2196564332353374e-16,2.2196564332353374e-16
25,0.07857475786631128,2.2195892631972289e-16,0.0
26,0.08171774818096374,0.0,0.0
27,0.08486073849561618,2.2194466993386526e-16,2.2194466993386526e-16
28,0.08800372881026863,0.0,0.0
29,0.09114671912492109,0.0,0.0
30,0.09428970943957354,2.2192122947655222e-16,0.0
31,0.09743269975422598,0.0,2.2191286777556336e-16
32,0.10057569006887844,0.0,0.0
33,0.1037186803835309,2.2189532208134902e-16,2.2189532208134902e-16
34,0.10686167069818334,2.2188613809890477e-16,0.0
35,0.11000466101283579,0.0,4.437533600674023e-16
36,0.11314765132748825,2.2186694789154515e-16,0.0
37,0.1162906416421407,0.0,0.0
38,0.11943363195679314,2.2184666140043635e-16,2.2184666140043635e-16
39,0.1225766222714456,0.0,0.0
40,0.12571961258609804,2.2182527867535866e-16,2.2182527867535866e-16
41,0.1288626029007505,2.2181417624136334e-16,0.0
42,0.13200559321540295,2.2180279976874512e-16,2.2180279976874512e-16
43,0.1351485835300554,4.43582298528943e-16,2.217911492644715e-16
44,0.13829157384470786,6.653376742070255e-16,0.0
45,0.14143456415936032,6.653010785689609e-16,0.0
46,0.14457755447401277,6.652636609016065e-16,4.4350910726773765e-16
47,0.1477205447886652,1.108709035379736e-15,2.2174180707594718e-16
48,0.15086353510331765,1.773830292189434e-15,2.2172878652367925e-16
49,0.1540065254179701,2.217154919850196e-15,2.217154919850196e-16
50,0.15714951573262256,2.6604230816170376e-15,0.0
51,0.16029250604727502,3.547009295698583e-15,2.2168808098116144e-16
52,0.16343549636192747,4.655153255186479e-15,0.0
53,0.16657848667657993,5.541489353281961e-15,0.0
54,0.16972147699123236,6.870992203356669e-15,2.21644909785699e-16
55,0.1728644673058848,8.4219389171856e-15,2.216299715048842e-16
56,0.17600745762053727,1.0637508446300605e-14,0.0
57,0.17915044793518972,1.3295956390445495e-14,0.0
58,0.18229343824984218,1.6840346998852035e-14,0.0
59,0.18543642856449463,1.994107312922443e-14,2.2156747921360476e-16
60,0.1885794188791471,2.4592180024986785e-14,2.2155117139627735e-16
61,0.19172240919379951,3.012870419929657e-14,2.2153458970071005e-16
62,0.19486539950845197,3.677194386673629e-14,2.2151773413696562e-16
63,0.19800838982310442,4.4521621547768675e-14,2.2150060471526706e-16
64,0.20115138013775688,5.382041795137735e-14,0.0
65,0.20429437045240934,6.444646758285243e-14,0.0
66,0.2074373607670618,7.772809826588301e-14,0.0
67,0.21058035108171425,9.300032643677305e-14,0.0
68,0.21372334139636667,1.1092683590332977e-13,0.0
69,0.21686633171101913,1.323924625008637e-13,4.4278415552128324e-16
70,0.22000932202567158,1.5717485245936202e-13,0.0
71,0.22315231234032404,1.8637982528064123e-13,2.2135371173472831e-16
72,0.2262953026549765,2.197847792512204e-13,0.0
73,0.22943829296962895,2.596016160403925e-13,0.0
74,0.2325812832842814,3.0516457704857595e-13,0.0
75,0.23572427359893383,3.586846590649494e-13,2.2127369467301012e-16
76,0.2388672639135863,4.2038071159102567e-13,0.0
77,0.24201025422823874,4.91577601390003e-13,0.0
78,0.2451532445428912,5.733784140084519e-13,2.2121080787363115e-16
79,0.24829623485754365,6.677704914002131e-13,0.0
80,0.2514392251721961,7.762979774936465e-13,2.2116751495545483e-16
81,0.25458221548684856,9.002831595972995e-13,2.2114545801947911e-16
82,0.257725205801501,1.0430377921807042e-12,2.211231274497995e-16
83,0.2608681961161535,1.205218952289025e-12,0.0
84,0.2640111864308059,1.3905783899617121e-12,0.0
85,0.2671541767454584,1.6019819185461302e-12,0.0
86,0.2702971670601108,1.842293960977517e-12,0.0
87,0.27344015737476324,2.115040536342405e-12,0.0
88,0.2765831476894157,2.4248508315499216e-12,0.0
89,0.27972613800406815,2.7748050416103872e-12,0.0
90,0.28286912831872063,3.1715166669630937e-12,0.0
91,0.28601211863337306,3.618945016248602e-12,2.2090984106022477e-16
92,0.28915510894802554,4.123256093305487e-12,2.2088477491324192e-16
93,0.29229809926267797,4.6914961243839125e-12,0.0
94,0.2954410895773304,5.330265966416768e-12,2.2083382219897949e-16
95,0.2985840798919829,6.048370973650146e-12,2.208079356618774e-16
96,0.3017270702066353,6.8535078810256585e-12,0.0
97,0.3048700605212878,7.756238951860952e-12,2.2075534230428212e-16
98,0.3080130508359402,8.766017030836754e-12,0.0
99,0.3111560411505927,9.894938015481252e-12,0.0
